task_name,modality,aggregation_level,best_strategy,auc,sensitivity,specificity,n_eval
NextBiopsyProgression_LGD3plus,multimodal,biopsy,biopsy_max,0.8483375959079283,0.8117647058823529,0.7282608695652174,453
NextBiopsyProgression_LGD3plus,cnv,biopsy,biopsy_max,0.7583120204603581,0.24705882352941175,0.9538043478260868,453
NextBiopsyProgression_LGD3plus,image,biopsy,biopsy_max,0.7019501278772379,0.6588235294117647,0.595108695652174,453
NextBiopsyProgression_LGD3plus,multimodal,patient,biopsy_max -> patient_max,0.8855580693815988,0.9215686274509804,0.5673076923076923,155
NextBiopsyProgression_LGD3plus,cnv,patient,biopsy_max -> patient_max,0.8231523378582202,0.35294117647058826,0.971153846153846,155
NextBiopsyProgression_LGD3plus,image,patient,biopsy_max -> patient_max,0.7818627450980392,0.8431372549019608,0.4903846153846154,155
Progressor_label,image,biopsy,biopsy_max,0.7952775073028239,0.810126582278481,0.5801282051282052,470
Progressor_label,multimodal,biopsy,biopsy_mean,0.7922346640701071,0.6518987341772152,0.8269230769230769,470
Progressor_label,cnv,biopsy,biopsy_mean,0.740617900032457,0.2721518987341772,0.9102564102564102,470
Progressor_label,image,patient,biopsy_max -> patient_max,0.9152286453839515,0.9736842105263158,0.5081967213114754,160
Progressor_label,multimodal,patient,biopsy_mean -> patient_max,0.9020707506471096,0.8684210526315791,0.7868852459016393,160
Progressor_label,cnv,patient,biopsy_mean -> patient_max,0.8545081967213114,0.6578947368421053,0.8524590163934426,160
