task_name,condition,model_name,modality_used,auc_mean,sensitivity_mean,specificity_mean,n_folds_complete,n_samples_total,source_run
IsFirstBiopsy,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,0.9998832911884848,1.0,0.9895490552923262,5,820,virchow2/runs/multimodal/exclude_hgd_imc/IsFirstBiopsy_stage2_exclusions
IsFirstBiopsy,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,0.9994947368421052,1.0,0.9767054701075896,5,671,virchow2/runs/multimodal/exclude_lgd_hgd_imc/IsFirstBiopsy_stage2_exclusions
IsFirstBiopsy,all_samples,early_mean_mlp_timev1,multimodal,0.9990603146853146,1.0,0.9787212787212788,5,940,virchow2/runs/multimodal/all_samples/IsFirstBiopsy_stage1_all_samples
IsLastBiopsy,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,0.9982691256545624,0.9911764705882352,0.9247012270477178,5,671,virchow2/runs/multimodal/exclude_lgd_hgd_imc/IsLastBiopsy_stage2_exclusions
IsLastBiopsy,all_samples,early_mean_mlp_timev1,multimodal,0.996462587376848,0.9721044546851,0.9261437244995196,5,940,virchow2/runs/multimodal/all_samples/IsLastBiopsy_stage1_all_samples
AtRisk_1y,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,0.9948290425320389,0.9366925410735648,0.9908730158730158,5,671,virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_1y_stage2_exclusions
AtRisk_1y,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,0.9947948613752252,0.9657764782326186,0.9427114427860696,5,820,virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_1y_stage2_exclusions
IsLastBiopsy,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,0.9935380297602584,0.968688807047016,0.9331010139829308,5,820,virchow2/runs/multimodal/exclude_hgd_imc/IsLastBiopsy_stage2_exclusions
AtRisk_2y,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,0.9751208538552566,0.8785795255033599,0.915686798007932,5,671,virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_2y_stage2_exclusions
AtRisk_2y,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,0.9721708821523776,0.8833564881212196,0.8987653148215807,5,820,virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_2y_stage2_exclusions
AtRisk_1y,all_samples,early_mean_mlp_timev1,multimodal,0.9700580512661456,0.9024756759305927,0.8911771412625941,5,940,virchow2/runs/multimodal/all_samples/AtRisk_1y_stage1_all_samples
AtRisk_3y,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,0.9513307792512468,0.8433829891039194,0.8997608022990026,5,671,virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_3y_stage2_exclusions
AtRisk_3y,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,0.9473815935078196,0.8275509835311183,0.8620070931421158,5,820,virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_3y_stage2_exclusions
AtRisk_2y,all_samples,early_mean_mlp_timev1,multimodal,0.944779005899996,0.8486254349402624,0.8545444280084464,5,940,virchow2/runs/multimodal/all_samples/AtRisk_2y_stage1_all_samples
AtRisk_4y,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,0.9340192021012872,0.8098491368001259,0.8789088362617774,5,671,virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_4y_stage2_exclusions
AtRisk_4y,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,0.9172325059799852,0.7855352070118198,0.8341793356436582,5,820,virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_4y_stage2_exclusions
AtRisk_3y,all_samples,early_mean_mlp_timev1,multimodal,0.9145794423823989,0.7645625280709492,0.8740788495513959,5,940,virchow2/runs/multimodal/all_samples/AtRisk_3y_stage1_all_samples
AtRisk_5y,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,0.9092283344953234,0.8782086927196806,0.7533395929519056,5,671,virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_5y_stage2_exclusions
AtRisk_5y,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,0.9032087153641862,0.8480110213306089,0.7375298868938396,5,820,virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_5y_stage2_exclusions
AtRisk_4y,all_samples,early_mean_mlp_timev1,multimodal,0.8959271950277156,0.7302016832242082,0.8565794508520476,5,940,virchow2/runs/multimodal/all_samples/AtRisk_4y_stage1_all_samples
AtRisk_5y,all_samples,early_mean_mlp_timev1,multimodal,0.8909961550869865,0.7589961086918491,0.8491487783597955,5,940,virchow2/runs/multimodal/all_samples/AtRisk_5y_stage1_all_samples
NextBiopsyExistsInDataset,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,0.8813471221911697,0.8198312706599599,0.7638831796223101,5,671,virchow2/runs/multimodal/exclude_lgd_hgd_imc/NextBiopsyExistsInDataset_stage2_exclusions
HasNextBiopsy,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,0.8732250026396369,0.8675776610884821,0.47,5,671,virchow2/runs/multimodal/exclude_lgd_hgd_imc/HasNextBiopsy_stage2_exclusions
HasNextBiopsy,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,0.8705876892618187,0.8452361627294849,0.63,5,820,virchow2/runs/multimodal/exclude_hgd_imc/HasNextBiopsy_stage2_exclusions
Progress_in_1,all_samples,early_mean_mlp_timev1,multimodal,0.8678078789610429,0.7636610843507394,0.7795130228025059,5,940,virchow2/runs/multimodal/all_samples/Progress_in_1_stage1_all_samples
NextBiopsyExistsInDataset,all_samples,early_mean_mlp_timev1,multimodal,0.8657202241286859,0.8268699082769707,0.7785856508072201,5,940,virchow2/runs/multimodal/all_samples/NextBiopsyExistsInDataset_stage1_all_samples
NextBiopsyProgression_LGD3plus,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,0.8543649085231225,0.6777899877899879,0.8898727861848673,5,638,virchow2/runs/multimodal/exclude_lgd_hgd_imc/NextBiopsyProgression_LGD3plus_stage2_exclusions__epyc_overflow_20260304_173036
Progress_in_3,all_samples,early_mean_mlp_timev1,multimodal,0.8470074103784375,0.6947015103338633,0.7692268462602689,5,940,virchow2/runs/multimodal/all_samples/Progress_in_3_stage1_all_samples
NextBiopsyProgression_LGD3plus,exclude_lgd_hgd_imc,intermediate_abmil_cnv,multimodal,0.8444202685285941,0.6155921855921855,0.8565576530535743,5,638,gigapath/runs/multimodal/exclude_lgd_hgd_imc/NextBiopsyProgression_LGD3plus_stage2_exclusions__epyc_overflow_20260304_173036
Progress_in_2,all_samples,early_mean_mlp_timev1,multimodal,0.8437517789378044,0.6411308221176643,0.8125862150985304,5,940,virchow2/runs/multimodal/all_samples/Progress_in_2_stage1_all_samples
Progressor_label,all_samples,early_mean_mlp,multimodal,0.8434595670251424,0.6714214410625807,0.8028657892052461,5,940,uni2/runs/multimodal/all_samples/Progressor_label_stage1_all_samples__epyc_overflow_20260304_173036
Progressor_label,all_samples,early_mean_mlp,multimodal,0.8412766731454809,0.6940830279940597,0.7933796690631205,5,940,gigapath/runs/multimodal/all_samples/Progressor_label_stage1_all_samples__epyc_overflow_20260304_173036
NextBiopsyProgression_LGD3plus,all_samples,early_mean_mlp_timev1,multimodal,0.8392150680346635,0.7834569182511715,0.726852009778839,5,903,virchow2/runs/multimodal/all_samples/NextBiopsyProgression_LGD3plus_stage1_all_samples__epyc_overflow_20260304_173036
NextBiopsyProgression_LGD3plus,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,0.8383552484365806,0.5289415925521401,0.8467654876048872,5,785,virchow2/runs/multimodal/exclude_hgd_imc/NextBiopsyProgression_LGD3plus_stage2_exclusions__epyc_overflow_20260304_173036
NextBiopsyProgression_LGD3plus,exclude_lgd_hgd_imc,coattn_abmil_cnv,multimodal,0.8364874150602859,0.5396092796092796,0.9289623740758051,5,638,gigapath/runs/multimodal/exclude_lgd_hgd_imc/NextBiopsyProgression_LGD3plus_stage2_exclusions__epyc_overflow_20260304_173036
NextBiopsyProgression_LGD3plus,exclude_lgd_hgd_imc,early_mean_mlp,multimodal,0.8345324891732144,0.534969474969475,0.8769794039299322,5,638,gigapath/runs/multimodal/exclude_lgd_hgd_imc/NextBiopsyProgression_LGD3plus_stage2_exclusions__epyc_overflow_20260304_173036
