task_name,task_type,best_model_name,best_modality,best_condition,best_metric,best_metric_value,n_folds_complete,source_run
AtRisk_1y,binary,early_mean_mlp_timev1,multimodal,exclude_lgd_hgd_imc,auc_mean,0.9948290425320389,5,virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_1y_stage2_exclusions
AtRisk_2y,binary,early_mean_mlp_timev1,multimodal,exclude_lgd_hgd_imc,auc_mean,0.9751208538552566,5,virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_2y_stage2_exclusions
AtRisk_3y,binary,early_mean_mlp_timev1,multimodal,exclude_lgd_hgd_imc,auc_mean,0.9513307792512468,5,virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_3y_stage2_exclusions
AtRisk_4y,binary,early_mean_mlp_timev1,multimodal,exclude_lgd_hgd_imc,auc_mean,0.9340192021012872,5,virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_4y_stage2_exclusions
AtRisk_5y,binary,early_mean_mlp_timev1,multimodal,exclude_lgd_hgd_imc,auc_mean,0.9092283344953234,5,virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_5y_stage2_exclusions
HasNextBiopsy,binary,early_mean_mlp_timev1,multimodal,exclude_lgd_hgd_imc,auc_mean,0.8732250026396369,5,virchow2/runs/multimodal/exclude_lgd_hgd_imc/HasNextBiopsy_stage2_exclusions
IsFirstBiopsy,binary,early_mean_mlp_timev1,multimodal,exclude_hgd_imc,auc_mean,0.9998832911884848,5,virchow2/runs/multimodal/exclude_hgd_imc/IsFirstBiopsy_stage2_exclusions
IsLastBiopsy,binary,early_mean_mlp_timev1,multimodal,exclude_lgd_hgd_imc,auc_mean,0.9982691256545624,5,virchow2/runs/multimodal/exclude_lgd_hgd_imc/IsLastBiopsy_stage2_exclusions
NextBiopsyExistsInDataset,binary,early_mean_mlp_timev1,multimodal,exclude_lgd_hgd_imc,auc_mean,0.8813471221911697,5,virchow2/runs/multimodal/exclude_lgd_hgd_imc/NextBiopsyExistsInDataset_stage2_exclusions
NextBiopsyProgression_LGD3plus,binary,early_mean_mlp_timev1,multimodal,exclude_lgd_hgd_imc,auc_mean,0.8543649085231225,5,virchow2/runs/multimodal/exclude_lgd_hgd_imc/NextBiopsyProgression_LGD3plus_stage2_exclusions__epyc_overflow_20260304_173036
Progress_in_1,binary,early_mean_mlp_timev1,multimodal,all_samples,auc_mean,0.8678078789610429,5,virchow2/runs/multimodal/all_samples/Progress_in_1_stage1_all_samples
Progress_in_2,binary,early_mean_mlp_timev1,multimodal,all_samples,auc_mean,0.8437517789378044,5,virchow2/runs/multimodal/all_samples/Progress_in_2_stage1_all_samples
Progress_in_3,binary,early_mean_mlp_timev1,multimodal,all_samples,auc_mean,0.8470074103784375,5,virchow2/runs/multimodal/all_samples/Progress_in_3_stage1_all_samples
Progress_in_4,binary,early_mean_mlp_timev1,multimodal,all_samples,auc_mean,0.8299679822628075,5,virchow2/runs/multimodal/all_samples/Progress_in_4_stage1_all_samples
Progress_in_5,binary,early_mean_mlp_timev1,multimodal,all_samples,auc_mean,0.8308086716515986,5,virchow2/runs/multimodal/all_samples/Progress_in_5_stage1_all_samples
Progressor_label,binary,early_mean_mlp,multimodal,all_samples,auc_mean,0.8434595670251424,5,uni2/runs/multimodal/all_samples/Progressor_label_stage1_all_samples__epyc_overflow_20260304_173036
CurrentGradeInt,multiclass,early_mean_mlp_timev1,multimodal,exclude_hgd_imc,macro_auc_ovr_mean,0.7358277033454225,5,virchow2/runs/multimodal/exclude_hgd_imc/CurrentGradeInt_stage2_exclusions
NextBiopsyTier3,multiclass,set_transformer_lite,image,exclude_lgd_hgd_imc,macro_auc_ovr_mean,0.7657156082509273,5,uni2/runs/image/exclude_lgd_hgd_imc/NextBiopsyTier3_stage2_exclusions__epyc_overflow_20260304_173036
DaysSincePreviousBiopsy,regression,early_mean_mlp_timev1,multimodal,all_samples,mae_mean,39.971467884926774,5,virchow2/runs/multimodal/all_samples/DaysSincePreviousBiopsy_stage1_all_samples
DaysToNextBiopsy,regression,early_mean_mlp_timev1,multimodal,exclude_lgd_hgd_imc,mae_mean,222.3116621596042,5,virchow2/runs/multimodal/exclude_lgd_hgd_imc/DaysToNextBiopsy_stage2_exclusions
Time_to_progression,regression,early_mean_mlp_timev1,multimodal,all_samples,mae_mean,319.26080609737704,5,virchow2/runs/multimodal/all_samples/Time_to_progression_stage1_all_samples
