baseline,metric,delta_longitudinal_minus_baseline,ci95_low,ci95_high,excludes_zero,n_patients
cnv_only,auprc,0.0368,-0.0922,0.1639,False,150
cnv_only,roc_auc,0.0538,-0.0578,0.1684,False,150
cnv_only,brier,0.0092,-0.041,0.0626,False,150
image_only,auprc,0.0182,-0.1016,0.1075,False,150
image_only,roc_auc,-0.0144,-0.0938,0.0633,False,150
image_only,brier,-0.0201,-0.061,0.0215,False,150
late_mean,auprc,-0.0544,-0.1543,0.0378,False,150
late_mean,roc_auc,-0.0574,-0.1292,0.0141,False,150
late_mean,brier,0.041,0.0067,0.0781,True,150
intermediate_fusion,auprc,0.0077,-0.0906,0.0946,False,150
intermediate_fusion,roc_auc,-0.0246,-0.086,0.0391,False,150
intermediate_fusion,brier,0.0009,-0.0317,0.033,False,150
