,n_pat,n_pos,auprc,roc,brier
prevalence,150.0,50.0,0.3333333333333333,0.5,0.25547431293691014
grade_only,150.0,50.0,0.48998609678727334,0.6656,0.22623737963701274
history_only,150.0,50.0,0.492700920991012,0.7112,0.2388645196960485
grade_plus_history,150.0,50.0,0.4952319365875228,0.7201,0.23512077820323488
clinical_tree,150.0,50.0,0.4965904758682861,0.6775,0.2364164630409552
clinical,150.0,50.0,0.4952319365875228,0.7201,0.23512077820323488
cnv,150.0,50.0,0.5384535363777875,0.663,0.2159536835246922
image,150.0,50.0,0.5570344445745175,0.7312000000000001,0.24525580649306414
cnv_image,150.0,50.0,0.5622050174385954,0.7456,0.2445272502991887
clinical_cnv,150.0,50.0,0.5282632113020833,0.7404,0.2437347283479216
clinical_image,150.0,50.0,0.5536538326700401,0.7782,0.22788378828462877
clinical_cnv_image,150.0,50.0,0.576300453993936,0.8009999999999999,0.22245684847770866
cnv_image_latemean_frozen,150.0,50.0,0.6296063673808115,0.7742,0.18416471503194634
