comparison,model_a,model_b,d_auprc,auprc_ci,d_roc,roc_ci,d_brier,brier_ci
PRIMARY__clinical_cnv_image_vs_clinical_cnv,clinical_cnv_image,clinical_cnv,0.048,"(-0.0248, 0.1237)",0.0606,"(-0.0011, 0.1227)",0.0213,"(-0.0022, 0.0452)"
clinical_vs_cnv,clinical,cnv,-0.0432,"(-0.1703, 0.1115)",0.0571,"(-0.0526, 0.1711)",-0.0192,"(-0.0775, 0.0362)"
clinical_vs_image,clinical,image,-0.0618,"(-0.201, 0.0839)",-0.0111,"(-0.1265, 0.1076)",0.0101,"(-0.0334, 0.054)"
clinical_vs_cnv_image,clinical,cnv_image,-0.067,"(-0.1952, 0.0788)",-0.0255,"(-0.1399, 0.0908)",0.0094,"(-0.0276, 0.0459)"
cnv_image_vs_cnv,cnv_image,cnv,0.0238,"(-0.0929, 0.1589)",0.0826,"(-0.0272, 0.1937)",-0.0286,"(-0.0858, 0.0256)"
cnv_image_vs_image,cnv_image,image,0.0052,"(-0.0615, 0.0617)",0.0144,"(-0.0249, 0.053)",0.0007,"(-0.0169, 0.0198)"
clinical_cnv_vs_clinical,clinical_cnv,clinical,0.033,"(-0.0099, 0.0797)",0.0203,"(-0.0195, 0.0612)",-0.0086,"(-0.0242, 0.0073)"
clinical_image_vs_clinical,clinical_image,clinical,0.0584,"(-0.0231, 0.1452)",0.0581,"(-0.0101, 0.1292)",0.0072,"(-0.0199, 0.0346)"
clinical_cnv_image_vs_cnv_image,clinical_cnv_image,cnv_image,0.0141,"(-0.0556, 0.0987)",0.0554,"(-0.0057, 0.1189)",0.0221,"(0.001, 0.0417)"
frozen_latemean_vs_cnv,cnv_image_latemean_frozen,cnv,0.0912,"(-0.0303, 0.2253)",0.1112,"(0.0014, 0.2205)",0.0318,"(0.0027, 0.0604)"
