model,operating_point,thr,sens,spec,ppv,npv,tp,fp,tn,fn
clinical,at_0.5,0.5,0.66,0.63,0.471,0.787,33,37,63,17
clinical,at_sens90,0.282,0.92,0.28,0.39,0.875,46,72,28,4
cnv,at_0.5,0.5,0.0,1.0,0.0,0.667,0,0,100,50
cnv,at_sens90,0.144,0.92,0.15,0.351,0.789,46,85,15,4
image,at_0.5,0.5,0.76,0.56,0.463,0.824,38,44,56,12
image,at_sens90,0.318,0.9,0.31,0.395,0.861,45,69,31,5
cnv_image_fusion,at_0.5,0.5,0.4,0.88,0.625,0.746,20,12,88,30
cnv_image_fusion,at_sens90,0.289,0.9,0.42,0.437,0.894,45,58,42,5
clinical_cnv,at_0.5,0.5,0.8,0.55,0.471,0.846,40,45,55,10
clinical_cnv,at_sens90,0.419,0.92,0.4,0.434,0.909,46,60,40,4
clinical_image,at_0.5,0.5,0.86,0.61,0.524,0.897,43,39,61,7
clinical_image,at_sens90,0.48,0.9,0.6,0.529,0.923,45,40,60,5
clinical_cnv_image,at_0.5,0.5,0.92,0.59,0.529,0.937,46,41,59,4
clinical_cnv_image,at_sens90,0.538,0.9,0.66,0.57,0.93,45,34,66,5
