rank,model_family,analysis_role,n_patients,n_positive,auprc,roc_auc,brier_score,ece,sensitivity,specificity,ppv,npv,tp,fp,tn,fn,false_positives_per_detected_progressor
1,foundation_ensemble_fusion,advanced_post_hoc,150,50,0.6355648299232205,0.728,0.20817365206698474,0.15747867426446951,0.44,0.89,0.6666666666666666,0.7606837606837606,22,11,89,28,0.5
2,hierarchical_patient_fusion,advanced_post_hoc,150,50,0.6307335561399267,0.7978,0.17981456038533192,0.09874259849922969,0.54,0.88,0.6923076923076923,0.7927927927927928,27,12,88,23,0.4444444444444444
3,late_mean,locked_reference,150,50,0.6296063673808114,0.7742,0.18416471503194634,0.07506470272529156,0.58,0.8,0.5918367346938775,0.7920792079207921,29,20,80,21,0.6896551724137931
4,early_fusion,locked_reference,150,50,0.5896492405308168,0.7384,0.21302356568360012,0.14105625140170258,0.58,0.85,0.6590909090909091,0.8018867924528302,29,15,85,21,0.5172413793103449
5,intermediate_fusion,locked_reference,150,50,0.5674716441983724,0.7414,0.2241938929121184,0.16724188966676592,0.48,0.84,0.6,0.7636363636363637,24,16,84,26,0.6666666666666666
6,optimal_transport_fusion,advanced_post_hoc,150,50,0.5646645661248367,0.7276,0.20131867220798588,0.11466671268145245,0.46,0.87,0.6388888888888888,0.7631578947368421,23,13,87,27,0.5652173913043478
7,image_only,locked_reference,150,50,0.5570344445745173,0.7312,0.24525580649306414,0.21531328660746415,0.6,0.72,0.5172413793103449,0.782608695652174,30,28,72,20,0.9333333333333333
8,coattention_fusion,locked_reference,150,50,0.5482396564531917,0.7392,0.23003820079597853,0.1975550430718189,0.52,0.8,0.5652173913043478,0.7692307692307693,26,20,80,24,0.7692307692307693
9,cnv_only,locked_reference,150,50,0.5384535363777874,0.663,0.2159536835246922,0.0947740719695052,0.28,0.9,0.5833333333333334,0.7142857142857143,14,10,90,36,0.7142857142857143
10,multitask_temporal_fusion,advanced_post_hoc,150,50,0.533777617017401,0.7002,0.23076128083714897,0.17820398053775233,0.44,0.81,0.5365853658536586,0.7431192660550459,22,19,81,28,0.8636363636363636
11,late_stack_logit,locked_reference,150,50,0.5303204472585012,0.7366,0.20249469565680342,0.10963185781403231,0.6,0.75,0.5454545454545454,0.7894736842105263,30,25,75,20,0.8333333333333334
12,low_rank_bilinear_fusion,advanced_post_hoc,150,50,0.5142811428095094,0.6664,0.24372675555439285,0.1691216903125557,0.4,0.87,0.6060606060606061,0.7435897435897436,20,13,87,30,0.65
13,cnv_token_cross_attention,advanced_post_hoc,150,50,0.5071475362630234,0.69,0.24380970157293438,0.19657406417963408,0.58,0.72,0.5087719298245614,0.7741935483870968,29,28,72,21,0.9655172413793104
14,reliability_gated_fusion,advanced_post_hoc,150,50,0.5018570366789951,0.682,0.22594555922951523,0.12356395039707424,0.38,0.83,0.5277777777777778,0.7280701754385965,19,17,83,31,0.8947368421052632
