model_family,outer_fold,status,expected_rows,prediction_rows,expected_patients,prediction_patients,problems
cnv_token_cross_attention,1,PASS,174,174,30,30,
cnv_token_cross_attention,2,PASS,130,130,30,30,
cnv_token_cross_attention,3,PASS,138,138,30,30,
cnv_token_cross_attention,4,PASS,121,121,30,30,
cnv_token_cross_attention,5,PASS,144,144,30,30,
foundation_ensemble_fusion,1,PASS,174,174,30,30,
foundation_ensemble_fusion,2,PASS,130,130,30,30,
foundation_ensemble_fusion,3,PASS,138,138,30,30,
foundation_ensemble_fusion,4,PASS,121,121,30,30,
foundation_ensemble_fusion,5,PASS,144,144,30,30,
hierarchical_patient_fusion,1,PASS,174,174,30,30,
hierarchical_patient_fusion,2,PASS,130,130,30,30,
hierarchical_patient_fusion,3,PASS,138,138,30,30,
hierarchical_patient_fusion,4,PASS,121,121,30,30,
hierarchical_patient_fusion,5,PASS,144,144,30,30,
low_rank_bilinear_fusion,1,PASS,174,174,30,30,
low_rank_bilinear_fusion,2,PASS,130,130,30,30,
low_rank_bilinear_fusion,3,PASS,138,138,30,30,
low_rank_bilinear_fusion,4,PASS,121,121,30,30,
low_rank_bilinear_fusion,5,PASS,144,144,30,30,
multitask_temporal_fusion,1,PASS,174,174,30,30,
multitask_temporal_fusion,2,PASS,130,130,30,30,
multitask_temporal_fusion,3,PASS,138,138,30,30,
multitask_temporal_fusion,4,PASS,121,121,30,30,
multitask_temporal_fusion,5,PASS,144,144,30,30,
optimal_transport_fusion,1,PASS,174,174,30,30,
optimal_transport_fusion,2,PASS,130,130,30,30,
optimal_transport_fusion,3,PASS,138,138,30,30,
optimal_transport_fusion,4,PASS,121,121,30,30,
optimal_transport_fusion,5,PASS,144,144,30,30,
reliability_gated_fusion,1,PASS,174,174,30,30,
reliability_gated_fusion,2,PASS,130,130,30,30,
reliability_gated_fusion,3,PASS,138,138,30,30,
reliability_gated_fusion,4,PASS,121,121,30,30,
reliability_gated_fusion,5,PASS,144,144,30,30,
