model_a,model_b,contrast_role,n_patients,n_positive,n_negative,n_boot,valid_fraction,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_auprc_sign_prob,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_roc_auc_sign_prob,delta_brier,delta_brier_ci_low,delta_brier_ci_high,delta_brier_sign_prob
cnv_token_cross_attention,late_mean,supplementary_post_hoc,150,50,100,5000,1.0,-0.1224588311177881,-0.19532001229179655,-0.03480172575933156,0.007600000000000051,-0.08420000000000005,-0.13409412521440817,-0.0341987078197616,0.00039999999999995595,0.05964498654098804,0.022651659509616135,0.09977387025144067,0.0028
cnv_token_cross_attention,cnv_only,supplementary_post_hoc,150,50,100,5000,1.0,-0.03130600011476403,-0.15748703077889348,0.12136954986102282,0.76,0.026999999999999913,-0.10539102874676994,0.15836170231385874,0.6756,0.02785601804824217,-0.03315191845607869,0.0900755618679114,0.3556
cnv_token_cross_attention,image_only,supplementary_post_hoc,150,50,100,5000,1.0,-0.049886908311494005,-0.11811635902107022,0.013903273926447227,0.12959999999999994,-0.041200000000000125,-0.08648479700424516,0.0031689443454149258,0.07240000000000002,-0.0014461049201297538,-0.032147740224781764,0.030282621804594265,0.9204000000000001
foundation_ensemble_fusion,late_mean,supplementary_post_hoc,150,50,100,5000,1.0,0.00595846254240906,-0.09802354745687664,0.09646366297725996,0.9788,-0.04620000000000002,-0.11362020818428371,0.020805970903212633,0.17199999999999993,0.024008937035038397,-0.007500202331558035,0.05604432261956875,0.1324
foundation_ensemble_fusion,cnv_only,supplementary_post_hoc,150,50,100,5000,1.0,0.09711129354543313,-0.05345332952634121,0.24355753260086213,0.1992,0.06499999999999995,-0.060411439624205476,0.19467300258937428,0.3008,-0.007780031457707476,-0.05700244268312328,0.04023208651690319,0.7567999999999999
foundation_ensemble_fusion,image_only,supplementary_post_hoc,150,50,100,5000,1.0,0.07853038534870316,-0.036754741346819615,0.16203590965072825,0.2052,-0.0032000000000000917,-0.06815435681163176,0.060832632879276496,0.9323999999999999,-0.0370821544260794,-0.07611407826309304,0.003017662459717873,0.06840000000000002
hierarchical_patient_fusion,late_mean,supplementary_post_hoc,150,50,100,5000,1.0,0.0011271887591151053,-0.1083239256580093,0.13242552653128548,0.9,0.023600000000000065,-0.05091968513621547,0.10222278815317874,0.5524,-0.004350154646614424,-0.03955957551136238,0.03269970871476444,0.7984
hierarchical_patient_fusion,cnv_only,supplementary_post_hoc,150,50,100,5000,1.0,0.09228001976213918,-0.024307794612206505,0.23346321324097438,0.1184,0.13480000000000003,0.032959850606909424,0.23430895032629295,0.0092,-0.036139123139360296,-0.08281625586498081,0.010548978204912978,0.12840000000000007
hierarchical_patient_fusion,image_only,supplementary_post_hoc,150,50,100,5000,1.0,0.0736991115654092,-0.06299088622673849,0.20795337241762055,0.2872,0.06659999999999999,-0.019205436893203875,0.15154763191029988,0.126,-0.06544124610773222,-0.11425745623233814,-0.017301689051970007,0.011200000000000099
low_rank_bilinear_fusion,late_mean,supplementary_post_hoc,150,50,100,5000,1.0,-0.11532522457130201,-0.20649782140522802,-0.032659092866869154,0.006000000000000005,-0.1078,-0.18371447440391842,-0.04034195782683272,0.0020000000000000018,0.05956204052244651,0.029139447818825267,0.09291243957451074,0.0
