model_family,outer_fold,status,expected_rows,prediction_rows,expected_patients,prediction_patients,problems
cnv_only,1,PASS,174,174,30,30,
cnv_only,2,PASS,130,130,30,30,
cnv_only,3,PASS,138,138,30,30,
cnv_only,4,PASS,121,121,30,30,
cnv_only,5,PASS,144,144,30,30,
image_only,1,PASS,174,174,30,30,
image_only,2,PASS,130,130,30,30,
image_only,3,PASS,138,138,30,30,
image_only,4,PASS,121,121,30,30,
image_only,5,PASS,144,144,30,30,
early_fusion,1,PASS,174,174,30,30,
early_fusion,2,PASS,130,130,30,30,
early_fusion,3,PASS,138,138,30,30,
early_fusion,4,PASS,121,121,30,30,
early_fusion,5,PASS,144,144,30,30,
intermediate_fusion,1,PASS,174,174,30,30,
intermediate_fusion,2,PASS,130,130,30,30,
intermediate_fusion,3,PASS,138,138,30,30,
intermediate_fusion,4,PASS,121,121,30,30,
intermediate_fusion,5,PASS,144,144,30,30,
coattention_fusion,1,PASS,174,174,30,30,
coattention_fusion,2,PASS,130,130,30,30,
coattention_fusion,3,PASS,138,138,30,30,
coattention_fusion,4,PASS,121,121,30,30,
coattention_fusion,5,PASS,144,144,30,30,
late_mean,1,PASS,174,174,30,30,
late_mean,2,PASS,130,130,30,30,
late_mean,3,PASS,138,138,30,30,
late_mean,4,PASS,121,121,30,30,
late_mean,5,PASS,144,144,30,30,
late_stack_logit,1,PASS,174,174,30,30,
late_stack_logit,2,PASS,130,130,30,30,
late_stack_logit,3,PASS,138,138,30,30,
late_stack_logit,4,PASS,121,121,30,30,
late_stack_logit,5,PASS,144,144,30,30,
