source_run,condition,model_name,modality_used,task_name,task_type,cnv_variant,cnv_mask_name,cnv_mask_k,cnv_mask_source_model,cnv_mask_source_kind,cnv_mask_resolution,n_folds_complete,expected_folds,is_complete,n_samples_total,auc_mean,auc_sd,auprc_mean,auprc_sd,accuracy_mean,accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,brier_mean,brier_sd,ece_mean,ece_sd,sensitivity_at_spec90_mean,sensitivity_at_spec90_sd,sensitivity_at_spec95_mean,sensitivity_at_spec95_sd,specificity_at_sens90_mean,specificity_at_sens90_sd,specificity_at_sens95_mean,specificity_at_sens95_sd,macro_f1_mean,macro_f1_sd,macro_auc_ovr_mean,macro_auc_ovr_sd,mae_mean,mae_sd,mse_mean,mse_sd,rmse_mean,rmse_sd,r2_mean,r2_sd
cnv_anchor/runs/cnv/all_samples/NextBiopsyProgression_LGD3plus/mask_mask_topK_10_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,all_samples,cnv_elasticnet_logreg,cnv,NextBiopsyProgression_LGD3plus,binary,windows_armdiff_plus_arms_plus_cx,mask_topK_10_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,10,cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,topk,windows,5,5,True,903,0.6697326094843711,0.09383243032390279,0.3839012344099753,0.08322604269923321,0.6145749293395429,0.06615938499269987,0.5980212049629235,0.16455270984501583,0.6228449599181307,0.07054400098174256,0.6104330824405271,0.08717860012376605,0.23307803506200075,0.021858170983743878,0.2646288350706964,0.06041910424165149,0.31510151039888096,0.1921150923647103,0.1443596887435326,0.11391834259269577,0.2283874012166695,0.1614294255708954,0.14429984649496844,0.09526124626625294,,,,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/NextBiopsyProgression_LGD3plus/mask_mask_topK_25_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,all_samples,cnv_elasticnet_logreg,cnv,NextBiopsyProgression_LGD3plus,binary,windows_armdiff_plus_arms_plus_cx,mask_topK_25_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,25,cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,topk,windows,1,5,False,165,0.6811294765840222,,0.4315866951599647,,0.696969696969697,,0.5151515151515151,,0.7424242424242424,,0.6287878787878788,,0.19626101006862884,,0.22352273443883117,,0.42424242424242425,,0.3333333333333333,,0.21212121212121213,,0.007575757575757576,,,,,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/NextBiopsyProgression_LGD3plus/mask_mask_topK_10_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,all_samples,cnv_linear_svm_calibrated,cnv,NextBiopsyProgression_LGD3plus,binary,windows_armdiff_plus_arms_plus_cx,mask_topK_10_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,10,cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,topk,windows,5,5,True,903,0.6887953536377471,0.11009727196417429,0.3932439769241226,0.08767721023054263,0.7855013975886094,0.027318159313088397,0.06469825466843629,0.07512674479090359,0.9852307692307694,0.016010351680920232,0.5249645119496027,0.0304404396215019,0.16421557232552927,0.021619395817575774,0.0893220703461095,0.03674638163548656,0.32327976351831056,0.17550316434074634,0.1426900895255463,0.11309869060668086,0.2773401557791802,0.18291500566774938,0.19445210074478364,0.1572069296651881,,,,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/NextBiopsyProgression_LGD3plus/mask_mask_topK_25_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,all_samples,cnv_linear_svm_calibrated,cnv,NextBiopsyProgression_LGD3plus,binary,windows_armdiff_plus_arms_plus_cx,mask_topK_25_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,25,cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,topk,windows,5,5,True,903,0.7314941371985391,0.05936426577509969,0.4596517525826255,0.031705143521938366,0.7897513180073379,0.025679659805742074,0.08687263761809709,0.06861391105213412,0.9839440559440561,0.010258454977364362,0.5354083467810765,0.030257011493531775,0.15378905308928179,0.015754147259288708,0.08583298664735255,0.02358908674953303,0.44214883842099895,0.11240797486017033,0.27403308537491244,0.08982062767312075,0.30188276763886523,0.11328494620304856,0.14793507305702427,0.09932559205184799,,,,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/NextBiopsyProgression_LGD3plus/mask_mask_topK_50_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,all_samples,cnv_linear_svm_calibrated,cnv,NextBiopsyProgression_LGD3plus,binary,windows_armdiff_plus_arms_plus_cx,mask_topK_50_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,50,cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,topk,windows,4,5,False,739,0.7072224313915971,0.1047263976241897,0.4510954906660834,0.07163675982114628,0.7896206817786475,0.03613989460488796,0.09201129132004708,0.09567519235496709,0.9856701631701632,0.012644770966384899,0.5388407272451051,0.04358430619058387,0.1571710446389804,0.019981143526689327,0.08498485319246786,0.038030152492508636,0.33153609831029185,0.04212259422265979,0.2657723382608175,0.0929872660190174,0.3031825288532605,0.26838860022739774,0.12374992893285575,0.08894789626694678,,,,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/NextBiopsyProgression_LGD3plus/mask_mask_topK_10_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,all_samples,cnv_mlp,cnv,NextBiopsyProgression_LGD3plus,binary,windows_armdiff_plus_arms_plus_cx,mask_topK_10_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,10,cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,topk,windows,4,5,False,689,0.6867726692287426,0.10554249009888311,0.4148717573778457,0.09691152517828308,0.6147569001212884,0.0975126500933299,0.6150599536002084,0.21249840213799384,0.620506993006993,0.15957914429414058,0.6177834733036007,0.0613167337249117,0.23702056019312592,0.03196171533427753,0.27288794124695204,0.07478157681153105,0.36770705349588517,0.21822187731060946,0.16297589416998473,0.10734981201817484,0.20583333333333337,0.08188695483885737,0.1206876456876457,0.10775390774992878,,,,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/NextBiopsyProgression_LGD3plus/mask_mask_topK_25_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,all_samples,cnv_mlp,cnv,NextBiopsyProgression_LGD3plus,binary,windows_armdiff_plus_arms_plus_cx,mask_topK_25_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,25,cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,topk,windows,3,5,False,525,0.6766282715717152,0.1009220821068699,0.38336333334099265,0.055904759167713154,0.6274483654863817,0.046003508470130614,0.6195995504751265,0.27874504363496055,0.6374358974358975,0.1329451944245393,0.628517723955512,0.07411389863999926,0.2370962897337995,0.011555490816154949,0.27665410376723304,0.08301261130046018,0.32022662437408983,0.14581721198994166,0.16659019423996382,0.05330229301364598,0.2268842268842269,0.2567966291478756,0.12244755244755244,0.14167257459401736,,,,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/NextBiopsyProgression_LGD3plus/mask_mask_topK_10_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,all_samples,cnv_pca_logreg,cnv,NextBiopsyProgression_LGD3plus,binary,windows_armdiff_plus_arms_plus_cx,mask_topK_10_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,10,cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,topk,windows,5,5,True,903,0.67002417702961,0.09470789587303749,0.38223977764323064,0.08018643592716135,0.6104886241232889,0.06420914628140764,0.5940212049629235,0.16351699106504866,0.6187769628745239,0.0684366119278205,0.6063990839187237,0.08596619628260116,0.23253820734213923,0.022116038012050157,0.26366501476806026,0.0644402719537346,0.31110151039888095,0.1963140948029203,0.14624204168470908,0.11535796822083169,0.22472886463130365,0.15980711829596017,0.14464210586161808,0.09780615284282251,,,,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/NextBiopsyProgression_LGD3plus/mask_mask_topK_25_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,all_samples,cnv_pca_logreg,cnv,NextBiopsyProgression_LGD3plus,binary,windows_armdiff_plus_arms_plus_cx,mask_topK_25_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,25,cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,topk,windows,5,5,True,903,0.732554090724291,0.0654242984428928,0.4522283131705945,0.03142460893180826,0.6962975694843406,0.043420870543215355,0.6122778730260434,0.17185726846872426,0.7234888850986413,0.085150983723842,0.6678833790623422,0.05814205890673217,0.20391458843145682,0.02166395618231122,0.22451140264269726,0.06572529237269224,0.4367391249755034,0.10460875465535563,0.2339914546463747,0.06776297540131244,0.3548312013190062,0.16129504147964832,0.13793120700437775,0.09795258936991834,,,,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/NextBiopsyProgression_LGD3plus/mask_mask_topK_10_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,all_samples,cnv_temporal_delta_logreg,cnv,NextBiopsyProgression_LGD3plus,binary,windows_armdiff_plus_arms_plus_cx,mask_topK_10_model-cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,10,cnv_xgboost_kind-consensus_res-windows_armdiff_plus_arms_plus_cx,topk,windows,5,5,True,903,0.6894182862467358,0.10336067674688774,0.4202554361010716,0.11433885938418913,0.6461857193929319,0.0648751535153165,0.5540932337744482,0.1714542678562217,0.6761721530502018,0.08837298814627059,0.615132693412325,0.07630887198459607,0.22286818823821494,0.029056992929588625,0.2453559862326724,0.06456090043398953,0.37878040600404383,0.19249321559465402,0.2198391896347982,0.15198705804792362,0.27449439990903407,0.18153525547378718,0.1515962249132981,0.1661771086800443,,,,,,,,,,,,
