source_run,condition,model_name,modality_used,task_name,task_type,cnv_variant,cnv_mask_name,cnv_mask_k,cnv_mask_source_model,cnv_mask_source_kind,cnv_mask_resolution,n_folds_complete,n_folds_total,n_folds_skipped,skip_reasons,expected_folds,is_complete,n_samples_total,auc_mean,auc_sd,auprc_mean,auprc_sd,accuracy_mean,accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,brier_mean,brier_sd,ece_mean,ece_sd,sensitivity_at_spec90_mean,sensitivity_at_spec90_sd,sensitivity_at_spec95_mean,sensitivity_at_spec95_sd,specificity_at_sens90_mean,specificity_at_sens90_sd,specificity_at_sens95_mean,specificity_at_sens95_sd,macro_f1_mean,macro_f1_sd,macro_auc_ovr_mean,macro_auc_ovr_sd,mae_mean,mae_sd,mse_mean,mse_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,best_score_metric,best_score
virchow2/runs/multimodal/all_samples/AtRisk_1y_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,AtRisk_1y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.9700580512661456,0.01098144010703718,0.984987929620561,0.00546087123919058,0.897672603007195,0.02492889650199727,0.9024756759305929,0.07297311758436902,0.8911771412625941,0.08057993746029227,0.8968264085965935,0.01299056476533733,0.07777481839849565,0.015011519809030429,0.07510081837694886,0.03416899831628709,0.9133772262062312,0.04354576689225528,0.8690551807344921,0.036810139253042884,0.8993444235086627,0.052324334306056965,0.7872528128655472,0.15552075161040813,,,,,,,,,,,,,auc_mean,0.9700580512661456
virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_1y_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_1y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9947948613752253,0.005915810639273339,0.9973008868602704,0.00260246438821332,0.9548770752718122,0.028977907373924958,0.9657764782326186,0.04919383314037037,0.9427114427860696,0.0651094624109443,0.9542439605093442,0.02772993561953055,0.03629024764016199,0.020943775803171236,0.06314430535889748,0.018920200861788278,0.9840058479532164,0.024279484104500627,0.9748700454840806,0.024918529572728516,0.993095238095238,0.009464098530643736,0.9683333333333334,0.05413460589637238,,,,,,,,,,,,,auc_mean,0.9947948613752253
virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_1y_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_1y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9948290425320389,0.007350185790290466,0.9969131041317947,0.003998307767301196,0.9590950740017197,0.028530611469431838,0.9366925410735647,0.054330133279687366,0.9908730158730158,0.012980497804600113,0.9637827784732902,0.025492089919167432,0.04079957519028583,0.0156825660234123,0.08614961337068716,0.046494122065890646,0.9834671705243269,0.023748917303891698,0.9784285939222169,0.02877647688281668,0.9964285714285716,0.00798595706249927,0.942966903073286,0.10826093944238468,,,,,,,,,,,,,auc_mean,0.9948290425320389
virchow2/runs/multimodal/all_samples/AtRisk_2y_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,AtRisk_2y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.944779005899996,0.01769089984446006,0.9630313433128762,0.0163936670516328,0.8463811357758017,0.02366608967257243,0.8486254349402624,0.07535680695410554,0.8545444280084464,0.07146021279315949,0.8515849314743544,0.01712870933275299,0.10599440973946128,0.010101842989540704,0.10309418158462089,0.005407150274935347,0.802880852456952,0.024536644612863895,0.7230110006488528,0.04780115867589574,0.8377381180907644,0.05356208840946302,0.7338311182375592,0.10898634354188119,,,,,,,,,,,,,auc_mean,0.944779005899996
routing/routing_moe_20260304_200011,exclude_hgd_imc,expert_mm_only,multimodal,AtRisk_2y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9721708821523778,0.014592222543362426,0.9777528729743141,0.013892443974235136,0.8850670735144419,0.03243759630970823,0.8833564881212197,0.06636285222596837,0.8987653148215807,0.09074153317180213,0.8910609014714002,0.03047829000940679,,,,,,,,,,,,,,,,,,,,,,,,,auc_mean,0.9721708821523778
virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_2y_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_2y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9751208538552566,0.014553767060717543,0.9763774611513829,0.012680641380644165,0.8953226219883836,0.022534329052755805,0.8785795255033599,0.03103936616749468,0.915686798007932,0.07264350354141953,0.8971331617556458,0.02207297391450898,0.07402999993164833,0.01018796119753805,0.08201413815079564,0.02492696489845281,0.8940412975762339,0.052092010401476777,0.8486758422883611,0.09331510481593507,0.9092388589506827,0.05334442566282861,0.8290702484030152,0.15221921855712023,,,,,,,,,,,,,auc_mean,0.9751208538552566
virchow2/runs/multimodal/all_samples/AtRisk_3y_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,AtRisk_3y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.9145794423823987,0.02499144444265471,0.924286327103619,0.03457617355506007,0.803784460452011,0.029796097631561894,0.7645625280709492,0.1156743495197309,0.874078849551396,0.11946477993542019,0.8193206888111726,0.026813211302574795,0.14549661264622235,0.020657632845841885,0.13832932050473348,0.03614145915259306,0.7271325173444086,0.06527551111047197,0.601735614462009,0.09782897682526172,0.7348881123721982,0.10828817671377683,0.6606973601442274,0.11602284437341552,,,,,,,,,,,,,auc_mean,0.9145794423823987
virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_3y_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_3y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9473815935078195,0.022728855994817738,0.9462406057723305,0.028921719074009037,0.8345570448991502,0.02410643468767739,0.8275509835311183,0.09453508710214761,0.8620070931421158,0.1117462070909614,0.844779038336617,0.014772929301762766,0.1164318958216842,0.022684172531547156,0.13457566828720574,0.02314672543314579,0.8067740390713164,0.11337676979948458,0.7574592241511078,0.09553072098793451,0.826302564726723,0.06734303768040142,0.680605703063183,0.18772867216865313,,,,,,,,,,,,,auc_mean,0.9473815935078195
virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_3y_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_3y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9513307792512469,0.04812254961599813,0.943879130797819,0.060585535828024346,0.8693559470082765,0.09386000125900999,0.8433829891039194,0.14752637485803896,0.8997608022990026,0.14536093238310288,0.8715718957014609,0.08528235334387825,0.10759356526501943,0.07153077188169718,0.12962647144561554,0.0649198390676678,0.8649339187943837,0.12132651413702236,0.8047209844419146,0.18891786766593802,0.8465302552569106,0.1823665535785138,0.7411081773348327,0.21474050145133558,,,,,,,,,,,,,auc_mean,0.9513307792512469
virchow2/runs/multimodal/all_samples/AtRisk_4y_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,AtRisk_4y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.8959271950277156,0.016681420396421988,0.8867065213874451,0.04492236483719382,0.7869739399452831,0.024131100283830104,0.7302016832242082,0.08107640370331953,0.8565794508520476,0.10115286193719701,0.7933905670381278,0.026631089413347523,0.15004608569561803,0.0149128532370317,0.12944491362643046,0.019066748504958864,0.7011192434534272,0.050913984031020716,0.5487048569457571,0.11255141042197804,0.6765171909830167,0.09860165755077638,0.5924822225496931,0.08359673328441884,,,,,,,,,,,,,auc_mean,0.8959271950277156
